Tarih,Şimdi,Açılış,Yüksek,Düşük,Hac.,Fark %
01.12.2023,452.18,543.89,544.82,418.54,6.94B,-16.04%
01.11.2023,538.54,559.74,577.14,530.19,9.86B,-3.21%
01.10.2023,556.38,647.62,677.78,549.81,19.82B,-13.44%
01.09.2023,642.8,619.84,662.71,569.34,17.44B,5.58%
01.08.2023,608.8,534.6,608.8,515.55,17.97B,14.35%
01.07.2023,532.39,386.66,533.23,386.15,16.73B,39.73%
01.06.2023,381.02,345.74,381.06,337.52,6.10B,10.70%
01.05.2023,344.2,323.21,348.06,274.12,5.14B,7.35%
01.04.2023,320.62,329.52,364.02,317.47,5.23B,-3.08%
01.03.2023,330.81,362.16,390.06,330.12,6.43B,-8.51%
01.02.2023,361.6,368.39,370.4,293.56,3.50B,-2.57%
01.01.2023,371.14,468.77,478.73,368.95,6.67B,-20.51%
01.12.2022,466.92,479.8,493.26,441.37,5.88B,-0.53%
01.11.2022,469.39,357.14,492.34,353.77,10.19B,33.15%
01.10.2022,352.53,279.08,353.94,279.08,9.68B,27.40%
01.09.2022,276.72,225.05,277.13,214.2,10.26B,24.46%
01.08.2022,222.34,187.4,224.23,187.4,10.11B,19.54%
01.07.2022,186,155.61,186,152.86,5.76B,19.63%
01.06.2022,155.48,146.62,163.36,146.62,7.74B,6.74%
01.05.2022,145.66,136.89,145.66,130.85,4.50B,7.48%
01.04.2022,135.52,121.02,140.9,119.62,13.70B,12.52%
01.03.2022,120.44,108.67,120.62,104.39,8.96B,12.32%
01.02.2022,107.23,112.17,113.11,99.57,4.68B,-4.27%
01.01.2022,112.01,99.8,112.06,98.93,4.74B,15.31%
01.12.2021,97.14,95.66,108.65,89.47,7.15B,2.37%
01.11.2021,94.89,92.26,96.08,87.18,7.02B,2.87%
01.10.2021,92.24,85.71,92.31,84.32,4.82B,6.70%
01.09.2021,86.45,89.88,91.97,85.01,3.93B,-3.46%
01.08.2021,89.55,80.34,90.19,79.91,4.20B,11.84%
01.07.2021,80.07,75.3,80.76,75.19,2.04B,6.72%
01.06.2021,75.03,80.69,83.76,73.71,2.64B,-7.12%
01.05.2021,80.78,81.74,84.17,78.32,3.01B,-0.39%
01.04.2021,81.1,94.95,99.97,76.19,3.96B,-13.40%
01.03.2021,93.65,94.42,100.65,79.26,5.23B,0.67%
01.02.2021,93.03,93.63,105.54,89.49,6.91B,0.25%
01.01.2021,92.8,88.68,99.61,87.11,8.47B,5.41%
