Years,Fields,Consumption,,,,
1980,Residential,3499.3,,,,
1980,Commercial and Public,2553.4,,,,
1980,Industry,13007.9,,,,
1980,Agriculture,160.3,,,,
1980,Transportation,289.5,,,,
1981,Residential,3665.1,,,,
1981,Commercial and Public,2742.6,,,,
1981,Industry,14206.1,,,,
1981,Agriculture,168.9,,,,
1981,Transportation,298.4,,,,
1982,Residential,"3,846.0",,,,
1982,Commercial and Public,"2,966.0",,,,
1982,Industry,15197.7,,,,
1982,Agriculture,187.7,,,,
1982,Transportation,309.0,,,,
1983,Residential,4024.4,,,,
1983,Commercial and Public,3224.1,,,,
1983,Industry,15575.7,,,,
1983,Agriculture,224.1,,,,
1983,Transportation,296.3,,,,
1984,Residential,4304.9,,,,
1984,Commercial and Public,3544.9,,,,
1984,Industry,"18,027.0",,,,
1984,Agriculture,260.1,,,,
1984,Transportation,330.8,,,,
1985,Residential,4978.9,,,,
1985,Commercial and Public,3747.9,,,,
1985,Industry,19607.7,,,,
1985,Agriculture,311.4,,,,
1985,Transportation,407.3,,,,
1986,Residential,5661.5,,,,
1986,Commercial and Public,"4,228.0",,,,
1986,Industry,20885.9,,,,
1986,Agriculture,325.7,,,,
1986,Transportation,666.0,,,,
1987,Residential,6506.3,,,,
1987,Commercial and Public,4697.4,,,,
1987,Industry,23872.9,,,,
1987,Agriculture,397.5,,,,
1987,Transportation,786.3,,,,
1988,Residential,7612.3,,,,
1988,Commercial and Public,5269.4,,,,
1988,Industry,25257.5,,,,
1988,Agriculture,424.9,,,,
1988,Transportation,815.4,,,,
1989,Residential,8264.5,,,,
1989,Commercial and Public,5700.9,,,,
1989,Industry,27602.7,,,,
1989,Agriculture,464.1,,,,
1989,Transportation,915.7,,,,
1990,Residential,9059.8,,,,
1990,Commercial and Public,6639.4,,,,
1990,Industry,29211.8,,,,
1990,Agriculture,575.1,,,,
1990,Transportation,1231.4,,,,
1991,Residential,10833.3,,,,
1991,Commercial and Public,7799.7,,,,
1991,Industry,28511.8,,,,
1991,Agriculture,711.8,,,,
1991,Transportation,1417.9,,,,
1992,Residential,11481.7,,,,
1992,Commercial and Public,8248.3,,,,
1992,Industry,31535.6,,,,
1992,Agriculture,859.4,,,,
1992,Transportation,1859.7,,,,
1993,Residential,"12,559.0",,,,
1993,Commercial and Public,9171.4,,,,
1993,Industry,34247.1,,,,
1993,Agriculture,989.2,,,,
1993,Transportation,2270.3,,,,
1994,Residential,13449.7,,,,
1994,Commercial and Public,10116.6,,,,
1994,Industry,34138.1,,,,
1994,Agriculture,1194.4,,,,
1994,Transportation,2502.1,,,,
1995,Residential,14492.5,,,,
1995,Commercial and Public,10274.5,,,,
1995,Industry,38007.4,,,,
1995,Agriculture,1513.5,,,,
1995,Transportation,3105.9,,,,
1996,Residential,16394.2,,,,
1996,Commercial and Public,12214.2,,,,
1996,Industry,40638.3,,,,
1996,Agriculture,1825.1,,,,
1996,Transportation,3084.9,,,,
1997,Residential,18514.4,,,,
1997,Commercial and Public,14556.8,,,,
1997,Industry,43491.3,,,,
1997,Agriculture,2012.1,,,,
1997,Transportation,3310.2,,,,
1998,Residential,20034.1,,,,
1998,Commercial and Public,15492.4,,,,
1998,Industry,"46,139.0",,,,
1998,Agriculture,2347.9,,,,
1998,Transportation,3691.2,,,,
1999,Residential,22584.3,,,,
1999,Commercial and Public,15327.5,,,,
1999,Industry,46480.3,,,,
1999,Agriculture,2624.5,,,,
1999,Transportation,4185.3,,,,
2000,Residential,23887.6,,,,
2000,Commercial and Public,17939.2,,,,
2000,Industry,48841.7,,,,
2000,Agriculture,3069.5,,,,
2000,Transportation,4557.7,,,,
2001,Residential,23557.3,,,,
2001,Commercial and Public,18432.4,,,,
2001,Industry,"46,989.0",,,,
2001,Agriculture,3203.1,,,,
2001,Transportation,4888.2,,,,
2002,Residential,23559.4,,,,
2002,Commercial and Public,"20,305.0",,,,
2002,Industry,50489.4,,,,
2002,Agriculture,3490.1,,,,
2002,Transportation,5103.9,,,,
2003,Residential,25194.9,,,,
2003,Commercial and Public,"22,840.0",,,,
2003,Industry,55099.2,,,,
2003,Agriculture,3657.1,,,,
2003,Transportation,4974.8,,,,
2004,Residential,"27,619.0",,,,
2004,Commercial and Public,25629.5,,,,
2004,Industry,59565.9,,,,
2004,Agriculture,"3,895.0",,,,
2004,Transportation,4432.5,,,,
2005,Residential,"30,935.0",,,,
2005,Commercial and Public,28777.3,,,,
2005,Industry,62294.2,,,,
2005,Agriculture,4113.3,,,,
2005,Transportation,"4,143.0",,,,
2006,Residential,"34,466.0",,,,
2006,Commercial and Public,32186.1,,,,
2006,Industry,68026.7,,,,
2006,Agriculture,4441.2,,,,
2006,Transportation,3950.4,,,,
2007,Residential,36475.8,,,,
2007,Commercial and Public,35831.3,,,,
2007,Industry,73794.5,,,,
2007,Agriculture,4980.9,,,,
2007,Transportation,4052.6,,,,
2008,Residential,39583.6,,,,
2008,Commercial and Public,"37,737.0",,,,
2008,Industry,74850.3,,,,
2008,Agriculture,5806.5,,,,
2008,Transportation,3970.2,,,,
2009,Residential,39147.5,,,,
2009,Commercial and Public,"38,553.0",,,,
2009,Industry,70470.1,,,,
2009,Agriculture,4878.7,,,,
2009,Transportation,3844.8,,,,
2010,Residential,41410.7,,,,
2010,Commercial and Public,41955.5,,,,
2010,Industry,79330.7,,,,
2010,Agriculture,5585.5,,,,
2010,Transportation,3768.3,,,,
2011,Residential,44271.1,,,,
2011,Commercial and Public,44715.3,,,,
2011,Industry,87980.2,,,,
2011,Agriculture,5146.9,,,,
2011,Transportation,3986.1,,,,
2012,Residential,45375.1,,,,
2012,Commercial and Public,47511.9,,,,
2012,Industry,92301.7,,,,
2012,Agriculture,5849.9,,,,
2012,Transportation,3884.7,,,,
2013,Residential,44971.5,,,,
2013,Commercial and Public,51071.8,,,,
2013,Industry,93251.8,,,,
2013,Agriculture,4914.5,,,,
2013,Transportation,3835.6,,,,
2014,Residential,46189.7,,,,
2014,Commercial and Public,54303.9,,,,
2014,Industry,97777.5,,,,
2014,Agriculture,5161.4,,,,
2014,Transportation,3942.6,,,,
2015,Residential,47900.8,,,,
2015,Commercial and Public,56921.6,,,,
2015,Industry,103534.8,,,,
2015,Agriculture,4880.7,,,,
2015,Transportation,4074.3,,,,
2016,Residential,51203.8,,,,
2016,Commercial and Public,60668.1,,,,
2016,Industry,108297.6,,,,
2016,Agriculture,6805.4,,,,
2016,Transportation,4228.8,,,,
2017,Residential,54251.3,,,,
2017,Commercial and Public,67093.5,,,,
2017,Industry,116482.6,,,,
2017,Agriculture,6798.2,,,,
2017,Transportation,"4,397.0",,,,
2018,Residential,54590.5,,,,Commercial and Public
2018,Commercial and Public,71926.9,,,,
2018,Industry,117711.7,,,,
2018,Agriculture,9278.4,,,,
2018,Transportation,4724.7,,,,
2019,Residential,56194.1,,,,
2019,Commercial and Public,70757.3,,,,
2019,Industry,115675.4,,,,
2019,Agriculture,9571.4,,,,
2019,Transportation,5074.9,,,,
2020,Residential,60693.5,,,,
2020,Commercial and Public,65193.8,,,,
2020,Industry,120027.3,,,,
2020,Agriculture,11550.1,,,,
2020,Transportation,5237.5,,,,
2021,Residential,"61,499.0",,,,
2021,Commercial and Public,68351.1,,,,
2021,Industry,"137,389.0",,,,
2021,Agriculture,13772.1,,,,
2021,Transportation,5680.1,,,,
