İller,Aydınlatma,Mesken,Sanayi,Ticarethane,Toplam_Tüketim,Tüketici_Sayısı
Adana,"92,968.09","1,622,527.89","2,794,993.28","1,521,749.49","6,032,238.75","1,050,298"
Adıyaman,"24,053.21","245,164.21","505,674.53","268,364.26","1,043,256.21","208,954"
Afyonkarahisar,"52,005.48","359,914.47","470,858.76","608,714.65","1,491,493.36","405,887"
Ağrı,"16,875.67","160,516.80","12,158.93","137,904.58","327,455.98","162,986"
Aksaray,"22,742.10","189,860.42","182,929.62","278,697.85","674,229.99","200,886"
Amasya,"29,344.27","189,893.95","149,624.77","169,630.99","538,493.98","195,371"
Ankara,"252,528.13","3,768,377.18","2,967,998.57","5,156,008.14","12,144,912.02","2,876,574"
Antalya,"160,918.94","2,303,248.91","1,055,857.50","3,541,572.67","7,061,598.02","1,563,034"
Ardahan,"8,897.20","46,014.94","2,816.99","57,291.03","115,020.16","52,572"
Artvin,"26,283.95","115,131.25","125,939.68","98,547.20","365,902.08","117,363"
Aydın,"72,846.95","866,813.35","519,065.13","893,747.47","2,352,472.90","653,578"
Balıkesir,"94,426.72","817,609.75","1,183,967.28","864,255.23","2,960,258.98","905,058"
Bartın,"22,298.56","121,084.78","212,581.59","92,793.27","448,758.20","133,420"
Batman,"19,574.74","229,801.62","215,687.90","216,941.90","682,006.16","168,277"
Bayburt,"8,268.20","41,030.62","3,060.94","38,770.05","91,129.81","46,570"
Bilecik,"18,820.07","103,094.49","1,277,820.37","202,480.55","1,602,215.48","127,948"
Bingöl,"10,284.64","103,487.47","45,745.41","103,054.19","262,571.71","112,405"
Bitlis,"17,722.16","125,326.25","22,512.22","125,166.72","290,727.35","103,576"
Bolu,"27,437.97","172,754.36","488,793.60","307,371.67","996,357.60","167,153"
Burdur,"22,692.57","156,107.71","542,856.53","156,338.41","877,995.22","167,593"
Bursa,"109,717.53","1,781,249.42","5,868,638.27","2,015,941.74","9,775,546.96","1,519,338"
Çanakkale,"41,956.48","324,829.74","2,697,231.81","429,822.93","3,493,840.96","364,936"
Çankırı,"18,995.09","98,004.54","190,750.29","102,354.62","410,104.54","124,149"
Çorum,"37,959.53","275,436.99","232,127.57","219,042.39","764,566.48","331,243"
Denizli,"70,655.63","630,531.22","1,817,624.62","677,551.85","3,196,363.32","545,315"
Diyarbakır,"38,390.31","635,580.51","421,132.68","714,375.93","1,809,479.43","501,446"
Düzce,"28,680.30","212,835.39","546,771.99","216,216.64","1,004,504.32","175,288"
Edirne,"30,779.48","274,899.77","409,348.01","334,628.62","1,049,655.88","236,417"
Elâzığ,"33,883.32","270,787.23","633,660.72","371,355.14","1,309,686.41","313,851"
Erzincan,"19,073.46","108,756.86","100,857.47","143,493.41","372,181.20","144,790"
Erzurum,"41,133.79","349,175.43","178,518.22","380,123.45","948,950.89","343,994"
Eskişehir,"44,635.76","538,485.83","1,338,353.18","637,873.96","2,559,348.73","544,714"
Gaziantep,"71,571.71","1,026,467.29","4,461,694.17","1,107,444.55","6,667,177.72","677,672"
